电影名, 作者, 上映年份, 评分, 电影简介, 豆瓣详情, 电影海报
鸽之翼 The Wings of the Dove, 改编自亨利·詹姆斯小说《鸽翼》, 年份: 1997, 7.8, 母亲死后，凯特（海伦娜·伯翰·卡特 Helena Bonham Carter 饰）被姨妈玛德（夏洛特·兰普林 Charlotte Rampling 饰）收留了。玛德希望凯特能够嫁给一个富翁，从此过上衣食无忧的生活，可桀骜不驯的凯特偏偏爱上了名不见经传的小记者莫顿（莱纳斯·罗彻 Linus Roache 饰）。                                                                    一个名叫米莉（艾丽森·艾略特 Alison Elliott 饰）的富家女出现在了凯特的身边，她身患重病，命不久矣。单纯的米莉爱上了莫顿，凯特将这一切都看在眼里，一条既能得到米莉家产又能收获莫顿爱情的妙计应运而生，她很快就和米莉成为了无话不谈的好友。然而，人心并不如凯特想象中的那般容易操纵，眼看着莫顿和米莉之间的感情越来越深就要失去控制，凯特陷入了深深的不安之中。                        ©豆瓣, https://movie.douban.com/subject/1294248/, https://img2.doubanio.com/view/photo/poster/public/p2191677921.jpg
银色·性·男女 Short Cuts, 改编自雷蒙德.卡佛小说集《大教堂》, 年份: 1993, 7.9, 警长吉恩家中关系紧张，他只能从情妇贝蒂那儿求得慰藉。贝蒂的前夫直升飞机驾驶员斯托米一直蒙在鼓里。另一对夫妇非尼根关系虽好，但他们的爱子凯西在生日前天却遭遇车祸死在医院。汽车司机埃尔的妻子多伦是女招待。多伦对埃尔的酗酒恶习深恶痛绝，一气之下不慎开车撞倒了菲尼根的儿子凯西。隔壁邻居路易丝一边给小孩儿喂奶，一边给提供SQ电话服务，这就是她的工作。她丈夫杰里对此十分反感，反而看上了女提琴师，年轻的佐伊。佐伊一直不嫁人，整日逼问母亲她父亲当年为何无故自杀。佐伊认为母亲有不可告人的事，郁郁而自尽。布什一家与凯泽一家一起去公园野餐。比尔和杰里抛下他们妻儿，去追赶两个骑着自行车的青年女子。他们好容易赶上了她们，想和她们搭讪。就在这一刹那，一场大地震开始了，正驾着直升飞机在城市上空盘旋的斯托米目睹了这一奇观。, https://movie.douban.com/subject/1297833/, https://img9.doubanio.com/view/photo/poster/public/p999706895.jpg
北回归线 Tropic of Cancer, 改编自亨利米勒同名小说, 年份: 1970, 暂无评分, The film depicts the adventures of expatriate American writer Henry Miller and his friends, as they pursue art, money, food, and sex in Paris., https://movie.douban.com/subject/3206269/, https://img1.doubanio.com/view/photo/poster/public/p2510054917.jpg
雪国, 改编自川端康成同名小说, 年份: 1965, 7.6, 倚靠家产四处游历的无业学者岛村（木村功 饰）偶然间来到一个名叫雪国的地方，在当地的温泉旅馆，他邂逅了19岁的美丽酒女驹子（岩下志麻 饰）。驹子倾慕岛村的才华，岛村却一心寻欢作乐。离开雪国当晚，这两个身份悬殊之人终于结合在一起。                                                                    回到东京的岛村对驹子念念不忘，次年，他再次回到雪国。此时的驹子已成为艺妓，她为了医好未婚夫行男的病而努力赚钱。岛村的到来令她的感情世界再起波澜。这两个人，注定一段难解难分的爱恨纠缠……                                                                    本片根据日本作家川端康成的同名小说改编。                        ©豆瓣, https://movie.douban.com/subject/1760613/, https://img9.doubanio.com/view/photo/poster/public/p2529534645.jpg
母亲 Мать, 改编自高尔基同名小说, 年份: 1956, 暂无评分, 根据高尔基同名小说《母亲》改编。, https://movie.douban.com/subject/5061837/, https://img9.doubanio.com/view/photo/poster/public/p2516000635.jpg
三个火枪手 The Three Musketeers, 改编自大仲马同名小说, 年份: 2011, 6.7, 在一次行动，三剑客被米莱迪（米拉•乔沃维奇 Milla Jovovich 饰）和白金汉公爵（奥兰多•布鲁姆 Orlando Bloom 饰）背叛暗算，以失败归隐告终乡间。三年后，练就一手好剑术的达达尼昂（罗根•勒曼 Logan Lerman 饰）初出茅庐，来到巴黎投奔火枪队长特雷维尔（马修•麦克费登 Matthew Macfadyen 饰），与三剑客不打不相识，意外成为惺惺相惜的好友，同时也偶遇王后侍女，与之一见倾心。不久后众人意外得知权倾朝野的红衣教主黎塞留（克里斯托弗•沃尔兹 Christoph Waltz 饰）为了自己的灭国计划，想要挑拨英法两国关系，意欲制造一起皇室丑闻，使国王路易十三对王后安娜产生误会。富有正义感的众人为了抗击红衣教主的邪恶阴谋，维护安娜王后的清白，保持英法两国的和平关系，和敌人展开了斗智斗勇的比拼。达达尼昂更是凭借出色的剑术和足智多谋的头脑在这场争斗中崭露头角….                                                                    该片改编自法国作家大仲马的代表作《三个火枪手》。, https://movie.douban.com/subject/4035906/, https://img9.doubanio.com/view/photo/poster/public/p1056072904.jpg
格列佛游记 Gulliver's Travels, 改编自斯威夫特同名小说, 年份: 2010, 6.1, 本片改编自英国作家斯威夫特的同名小说，讲述了格列佛在小人国的奇遇故事。                                                                    格列佛（杰克·布莱克 Jack Black 饰）是一个公司邮政室小职员，岁数也不小，可事业和爱情却都一无所成，平时唯一的爱好就是星球大战玩偶作伴。一次阴差阳错的公派任务，把他带到了百慕大群岛，不料，出海即遭遇到大风暴。待一切风平浪静之后发现自己来到了一个地图上没有的神秘小岛Lilliput，这里住着成百上千“小人”。而自己正被他们用无数根绳子“钉”在了海滩上，成为了他们俘虏。但久而久之，小人国的人民和格列佛变成了好朋友。此时公主（艾米莉·布朗特 Emily Blunt）将被下嫁到另一个国家，但她已有了青梅竹马的爱人，格列佛出面化解了两国的纠纷，还帮助公主和爱人完成终身大事。格列佛因而变成了这里的英雄人物，而这段经历也让他明白了人类的内心的强大与否无关外表。                        ©豆瓣, https://movie.douban.com/subject/3279093/, https://img1.doubanio.com/view/photo/poster/public/p1973692019.jpg
一个人的遭遇 Судьба человека, 改编自肖洛霍夫同名小说, 年份: 1959, 7.9, 获1959年莫斯科国际电影节大奖，并获1960年的列宁奖金。影片忠实地表现了肖洛霍夫的一个哲理思想：任何事物也不能阻止万物苏生。                                                                    影片的故事内容已被它的片名所概括了，它表现了一个普通的人在卫国战争中所经历的家破人亡的悲惨遭遇。战争刚爆发，木工索阔洛夫就上了前线，在战争中，他走过了一条苦难的艰巨道路：他被浮过；在集中营里做过受尽折磨的苦工；又机智地驾车回到了苏军阵地，还俘获了一个德冠少校，带来了重要的情报。战争使索阔洛夫失去了人间所有的亲人和温暖的家，但他并没有变得冷酷无情，并没有被痛苦折磨得失去生存的意志。他不仅自己要坚强地活下去，而且还要以破碎的心灵中的全部的爱去温暖一个无依无靠的弱小生命。影片结尾索阔洛夫把同样在战争中失去一切亲人、露宿街头的小男孩凡尼亚认作儿子这场戏充分地阐明了作品的主题思想：一个遭受战争创伤的人，没有理由永久地为自己的痛楚而哭泣，只要他还活着，他就应该不吝惜自己的爱，去温暖比他更弱小的生命。索阔洛夫终于在生活中找到了精神支柱，这支柱就是人道主义的力量。索阔洛夫是以人道主义的精神来医治自己心灵的创伤的。他在抚慰这颗幼小的心灵的过程中，忘却了自己的伤痕。影片作者自始至终遵循的一个基本创作原则就是真实，这真实是严峻而残酷的。                                                                    本片的导演技巧和造型处理都具有较高的水平，在运用电影表现手段方面是出色而大胆的，并具有革新精神。片中有十分独特的蒙太奇转换，又有前所未有的仰俯拍镜头，影片拍摄时还动用了直升飞机。摄影师弗·莫纳霍夫有自己独特的风格。《一个人的遭遇》是一部独白式的影片，是谢·邦达尔丘克自导自演的，对话极为简约而洗练，影片以卓越的造型处理丰富了原小说的内涵。邦达尔丘克后来拍摄了《战争与和平》《他们为祖国而战》，他曾亲自参加过卫国战争。1956年他曾来我国参加过“苏联电影周”期间的活动。                                                                    个别评论文章认为影片的调子太低沉，但舆论界和广大观众还是肯定这部影片的。, https://movie.douban.com/subject/1307028/, https://img9.doubanio.com/view/photo/poster/public/p2508252286.jpg
牛虻 Овод, 改编自伏尼契同名小说, 年份: 1956, 7.2, 故事发生在十九世纪四十年代的意大利。亚瑟（奥列格·斯特里仁诺夫 Oleg Strizhenov 饰）是一名虔诚的基督教徒，他非常仰慕神学院的蒙泰里尼神父（Nikolai Simonov 饰），将自己未曾享受过的父爱寄托在他的身上。可是，最终亚瑟发现，蒙泰里尼神父竟然就是当年抛弃自己的亲生父亲，他的信仰崩塌了。                                                                    一晃眼13年过去，意大利自由革命如火如荼的进行着，一个外号“牛虻”的青年领袖在运动中格外的活跃，成为了很多年轻人的心灵导师，而这个人就是亚瑟。很快，亚瑟因为遭到了同僚的背叛而锒铛入狱，在狱中，他再一次见到了蒙泰里尼神父，心存最后一丝幻想的亚瑟试图劝说神父和他一起投身革命。                        ©豆瓣, https://movie.douban.com/subject/2033739/, https://img1.doubanio.com/view/photo/poster/public/p2589545297.jpg
沉船 Kashmakash, 改编自泰戈尔同名小说, 年份: 2011, 暂无评分, Rameshchandra Chaudhry, a lawyer by profession, is in love with Hemnalini, and is displeased when he finds that his father wants him to marry Sushilla, the daughter of a widow. He initially refuses despite of his father disowning him, but changes his mind when the bride's mother pleads with him, and gets married without even seeing, leave alone getting to know his bride. After the marriage, they board a boat which overturns after a storm, and they end up being the only survivors. Unable to get Hemnalini out of his mind, he refuses to be intimate with his bride. On talking with her gradually over the next few months, it slowly sinks in that she is not Sushilla but Kamla - the bride of another male! The question remains: what can he do under these circumstances, and what impact will this have on Kamla - who has traditionally accepted him as her husband., https://movie.douban.com/subject/6439458/, https://img9.doubanio.com/view/photo/poster/public/p2569516454.jpg
项链 La parure, 改编自莫泊桑同名小说, 年份: 2007, 7.5, 故事讲述了小公务员的妻子玛蒂尔德为参加一次晚会，向朋友借了一串钻石项链，来炫耀自己的美丽。不料，项链在回家途中不慎丢失。她只得借钱买了新项链还给朋友。为了偿还债务，她节衣缩食，为别人打短工，整整劳苦了十年。最后，得知所借的项链原是一串假钻石项链。, https://movie.douban.com/subject/5361456/, https://img9.doubanio.com/view/subject/l/public/s4535924.jpg
汤姆叔叔的小屋 Onkel Toms Hütte, 改编自斯托夫人同名小说, 年份: 1965, 8.3, 故事发生在十九世纪中叶，有一位对主人忠心耿耿的黑奴，人们都称他为汤姆叔叔（约翰·奇兹米勒 John Kitzmiller 饰）。汤姆叔叔的主人投资失败濒临破产，无奈之下只能将包括汤姆叔叔在内的数十名奴隶卖给了奴隶贩子里格利，一行人跟着里格利浩浩荡荡的向南方出发。                                                                    在途中，汤姆叔叔结识了善良的女孩伊万杰琳，女孩恳求父亲圣克莱尔买下汤姆叔叔。然而，由于圣克莱尔发起了奴隶解放运动而遭到了很多奴隶主的痛恨，最终这位善良的男人死在了暗杀之下。就这样，汤姆叔叔再次成为了里格利的俘虏。汤姆叔叔十分同情女奴卡茜悲惨的身世，为了救她而遭遇了车祸，身受重伤奄奄一息的汤姆叔叔终于明白，没有人能够拯救他们，除了他们自己。                        ©豆瓣, https://movie.douban.com/subject/2083894/, https://img3.doubanio.com/view/photo/poster/public/p1880027580.jpg
玩偶之家 A Doll's House, 改编自易卜生同名剧作, 年份: 1973, 暂无评分, 根据易卜生戏剧《玩偶之家》改编。, https://movie.douban.com/subject/1987149/, https://img9.doubanio.com/view/photo/poster/public/p2530601196.jpg
萌芽 Germinal, 改编自左拉同名小说, 年份: 1993, 8.0, 本片描写19世纪未矿工悲惨命运。在法国北方，在矿山工作的朗蒂埃爱上了一位已委身于马厄的女人凯瑟琳。不久，他因为矿上的生活条件恶劣，于是鼓动工人进行大罢工，但很快就被镇压了。工人复工后，却被一个流亡的虚无主义者破坏了有关设备，致使巷道被水淹没，朗蒂埃等都被困在里面……                                                                    根据19世纪法国著名小说家佐拉著名作品《萌芽》改编。                                                                    本片力量来源于对原著的极其忠实和导演克洛德．贝里的非凡才华：人物个性鲜明，叙事富于激情。但影片也不是十全十美的，它的有些场面说教味太浓，某一情景强调得有些过分或某部分结构有失典雅。在第19届法国电影恺撒奖中茱蒂斯．亨利饰演的凯瑟琳获最佳女演员提名。, https://movie.douban.com/subject/1296601/, https://img2.doubanio.com/view/photo/poster/public/p2553568142.jpg
漂亮朋友 Bel Ami, 改编自莫泊桑同名小说, 年份: 2012, 6.1, 根据“短篇小说之王”莫泊桑的同名小说《漂亮朋友》改编而成。                                                                    老兵乔治·杜瓦洛（ 罗伯特·帕丁森Robert Pattinson 饰）退伍后从非洲只身来到巴黎，在铁道局打杂过着清苦交加的日子。偶然机会碰到昔日战友，在其帮助下进入《法兰西生活报》担任编辑一职，苦心钻营成为“瓦尔特帮”的重要写手，参与倒戈阴谋。凭借一张漂亮的外表和一些取悦女人的伎俩辗转于贵妇人之间，克罗蒂尔德（克里斯蒂娜·里奇 Christina Ricci 饰），玛德莱纳（乌玛·瑟曼 Uma Thurman 饰），瓦尔特夫人（克里斯汀·斯科特·托马斯 Kristin Scott Thomas 饰）都成为他平步青云的牺牲品，他无耻的利用女人来发迹，大搞投机冒险，步步为营跻身上流社会，并最终通过拐骗报馆老板瓦尔特的女儿苏珊（霍利·格林格 Holliday Grainger 饰），与之结婚成为报社总编辑，将权钱名并入囊中，成功得取远大前程。, https://movie.douban.com/subject/3744545/, https://img2.doubanio.com/view/photo/poster/public/p1653824923.jpg
吝啬鬼 L'Avare, 改编自莫里哀同名剧作, 年份: 1980, 8.3, 阿巴贡（路易·德·菲耐斯 Louis de Funès 饰）是个人尽皆知的吝啬鬼，早年丧妻的他带着女儿艾莉丝（Claire Dupray 饰）和儿子克莱昂特（皮埃尔·奥赛达特 Pierre Aussedat 饰）过着平静的生活。靠放高利贷为生的阿巴贡将辛苦赚来的金币埋在了花园里，他将自家花园的地下视为最保险和最安全的所在。                                                                    阿巴贡一直在追求一个名叫玛丽安娜（Madeleine Barbulée 饰）的年轻姑娘，没想到玛丽安娜却和克莱昂特两情相悦，两人在花园里幽会的时候被阿巴贡逮了个正着，这让阿巴贡十分气恼。祸不单行，阿巴贡埋在地下的金币失窃了，克莱昂特向父亲承诺他将查出盗窃金币的罪魁祸首，但作为报酬，他必须祝福他与玛丽安娜的爱情。                        ©豆瓣, https://movie.douban.com/subject/1469239/, https://img2.doubanio.com/view/photo/poster/public/p1621388331.jpg
麦克白 The Tragedy of Macbeth, 改编自莎士比亚同名剧作, 年份: 1971, 7.8, 在与挪威的战役中，苏格兰国王邓肯（Nicholas Selby 饰）的表弟麦克白表现出色，被加封为爵士。早在授爵之前，麦克白（Jon Finch 饰）和朋友班柯（Martin Shaw 饰）就已从三个女巫那里听说他将加封并最终成为国王的预言。预言的实现勾起麦克白心底隐藏的欲望，随后他和夫人（Francesca Annis 饰）杀害了来他城堡做客的国王，并嫁祸国王的随从。两个王子隐隐感到暗杀背后的血腥阴谋，于是分别逃往英格兰和爱尔兰。成功践祚的麦克白不可一世，但他又分明记起女巫针对班柯的预言，即班柯虽然不能成为国王，不过他的子孙将世代为君。不甘为他人做嫁衣的麦克白指示亲信击杀好友，从此开始了一条充满血腥的不归路……                                                                    本片根据莎士比亚四大悲剧之一《麦克白》改编。                        ©豆瓣, https://movie.douban.com/subject/1437096/, https://img9.doubanio.com/view/photo/poster/public/p2205996734.jpg
奥赛罗 The Tragedy of Othello: The Moor of Venice, 改编自莎士比亚同名剧作, 年份: 1951, 7.8, 奥赛罗（奥逊·威尔斯 Orson Welles 饰）生来高大威武，是一员猛将。某日，他遇见了元老的女儿苔丝狄蒙娜（Suzanne Cloutier 饰），一见钟情的两人迅速坠入了爱河。然而，巨大的年龄差距让两人的爱情遭到了众人的强烈反对，婚事亦遥遥无期，两个相爱的人决定私定终身。                                                                    阴险狡诈的伊阿古（Micheál MacLiammóir 饰）将风头正劲的奥赛罗视为眼中钉，企图除之而后快。在向元老告密的阴谋失败之后，伊阿古开始挑拨奥赛罗和苔丝狄蒙娜之间的感情，他伪造了副将凯斯奥（Michael Laurence 饰）和苔丝狄蒙娜之间的定情信物，使得奥赛罗信以为真。愤怒的奥赛罗将苔丝狄蒙娜掐死，却在之后得知了整个事件的真相，悲痛和悔恨之中，奥赛罗选择了死亡。                        ©豆瓣, https://movie.douban.com/subject/1296289/, https://img1.doubanio.com/view/photo/poster/public/p2390892458.jpg
罗密欧与朱丽叶 Romeo + Juliet, 改编自莎士比亚同名剧作, 年份: 1996, 7.5, 罗密欧（莱昂纳多•迪卡普里奥 饰）与茱丽叶（克莱尔•丹妮丝 饰）在一个派对上一见钟情了，这个派对是为了庆祝茱丽叶找到了如意郎君。可是他们各自所在的家族是死对头，常常爆发冲突。罗密欧潜入了茱丽叶家的后院，两人互诉爱意，由于知道家族之间的不和是他们的障碍，所以他们在神父的帮 助下秘密完婚。茱丽叶的表兄泰华是个暴躁的人，他要跟罗密欧决斗可是罗密欧只想和平相处，罗密欧好友莫邱托想杀死泰华，却先被泰华杀死，罗密欧愤怒之下也把泰华杀了。                                                                    罗密欧被驱逐出境，茱丽叶要另嫁他门。神父策划让茱丽叶假死，可是没有收到信件的罗密欧信以为真，在茱丽叶醒来之际，喝下了毒药……                        ©豆瓣, https://movie.douban.com/subject/1306154/, https://img1.doubanio.com/view/photo/poster/public/p1663002649.jpg
王子复仇记 Hamlet, 改编自莎士比亚同名剧作, 年份: 1948, 8.3, 丹麦王子哈姆雷特（劳伦斯·奥利弗 Laurence Olivier 饰）的父王某日在花园中离奇死亡，国王的弟弟克劳迪亚斯登上了王位，并娶原王妃即哈姆雷特的母亲为妻。父亲的突然离世，加上母亲的改嫁，使哈姆雷特终日郁郁寡欢。                                                                    一天哈姆雷特的好友霍拉旭告诉他，每到子夜时分，城堡高台上会出现一个悲愤抑郁的鬼魂。哈姆雷特便在半夜里来到高台上，与父亲的幽魂相会，他从鬼魂口中得知父王为现任国王克劳迪亚斯所杀。鬼魂要求哈姆雷特向那个篡夺王位、霸占王妃的凶手复仇。背负了复仇任务的哈姆雷特决定用假装发疯的办法来掩饰自己，以窥探克劳迪亚斯的一举一动。然而优柔寡断的他迟迟没有动手杀死叔父，正当他犹豫不决时，一个戏班来到了宫廷。他就安排了一场戏，将国王被害一幕以戏剧形式表演出来。国王和王后的反应，让他证实了这场宫廷阴谋……                        ©豆瓣, https://movie.douban.com/subject/1296390/, https://img2.doubanio.com/view/photo/poster/public/p1217889861.jpg
伊豆的舞女 伊豆の踊子, 改编自川端康成同名小说, 年份: 1974, 8.6, 本片改编自川端康成著名小说《伊豆的舞女》。                                                                    即将就读东京某高等学校的川岛（三浦友和）趁开学前的暑假前往伊豆旅行，在乍晴乍雨的山道上，他遇到一群巡回卖艺的歌舞伎艺人，因被其中一个梳着古代发髻、背着大鼓的娇小玲珑舞娘吸引，他决定与他们一起上路，路上，他得知该舞娘叫熏（山口百惠）。川岛不计歌舞伎艺人地位卑微，常邀请他们到他住的旅馆玩耍，而在和熏有过单独相处后，他更被其纯洁无瑕的美震撼，陷入矛盾中，一面为自己难以抑制的冲动而苦恼，一面为她在表演时可能受到侮辱惴惴不安。熏在两人的交往中，也渐渐生出真情。可是两人也只能是彼此生命中的过客。                        ©豆瓣, https://movie.douban.com/subject/1421733/, https://img1.doubanio.com/view/photo/poster/public/p939020358.jpg
罗生门 羅生門, 改编自芥川龙之介小说《竹林中》, 年份: 1950, 8.8, 罗生门，日本京都的正南门。云游和尚、砍柴人和乞丐在城门底下避雨，三人闲聊，话题开始，故事的序幕拉开：一个武士和他妻子路过荒山，遭遇了不测。妻子被侮辱，而武士惨遭杀害。惨案如何酿成？凶手、妻子、借武士亡魂来做证的女巫，都各有说法。                                                                    真相只得一个，但是各人提供证词的目的却各有不同。为了美化自己的道德，减轻自己的罪恶，掩饰自己的过失，人人都开始叙述一个美化自己的故事版本。荒山上的惨案，成了一团拨不开看不清的迷雾。                                                                    谈论完毕，雨过天晴。砍柴人在罗生门旁发现一个哭泣的弃婴。他决定收养下来，抱着婴孩往夕阳深处走去。                        ©豆瓣, https://movie.douban.com/subject/1291879/, https://img2.doubanio.com/view/photo/poster/public/p1598883511.jpg
我是猫 吾輩は猫である, 改编自夏目漱石同名小说, 年份: 1975, 6.8, 本片改编自日本作家夏目漱石的同名小说。淋漓尽致地反映了二十世纪初，日本中小资产阶级的思想和生活，尖锐地揭露和批判了明治“文明开化”的资本主义社会。 这部作品是以一位穷教师家的猫为主人公，以这只被拟人化的猫的视角来观察人类的心理。这是一只善于思索、有见识、富有正义感又具有文人气质、但至死也没有学会捕捉老鼠的猫。, https://movie.douban.com/subject/2973422/, https://img9.doubanio.com/view/photo/poster/public/p2382543425.jpg
千年之恋之源氏物语 千年の恋 ひかる源氏物語, 改编自紫式部小说《源氏物语》, 年份: 2001, 7.2, 故事发生在千年之前的越前国，紫氏部（吉永小百合 饰）嫁给比自己大很多的丈夫，生下女儿贤子。丈夫婚后不久就去世，紫氏一直过着孀居的生活并开始创作小说《源氏物语》。不久，藤原道长唤她来京都担任女儿彰子的老师，希望把彰子调教成皇后最合适的人选。                                                                    紫氏入宫，一边继续创作《源氏物语》，一边给彰子讲其中的故事……这是关于光源氏一生的爱情故事。源氏（天海佑希 饰）俊美无比，从小失去母亲。他岁与左大臣的女儿葵上成婚，但并不爱她。源氏从小对父亲的宠妃藤壶心生爱慕，并发生了乱伦关系。藤壶怀孕生子，使两人都充满负罪感。源氏意外发现一个叫紫上（常盘贵子 饰）的女孩，长得很像藤壶。便把她养在家里，并娶为正式。源氏又相继与明石姬、栊月夜、六条等十数位贵族女性发生了暧昧关系。贵族的糜烂生活，人世的宿命，女人的悲剧，一并听紫氏娓娓道来。                        ©豆瓣, https://movie.douban.com/subject/1303368/, https://img2.doubanio.com/view/photo/poster/public/p510023693.jpg
霍乱时期的爱情 Love in the Time of Cholera, 改编自马尔克斯同名小说, 年份: 2007, 7.4, 长达半个世纪的爱情故事。                                                                    19世纪末期哥伦比亚的喀他赫纳，电报员Florentino Ariza（Javier Bardem 饰）爱上了富商的女儿Fermina Daza（Giovanna Mezzogiorno 饰），他用热情洋溢的情书打动了Fermina Daza的心，二人迅速相恋。然而，由于身份地位的悬殊，Fermina Daza不得不屈从于父亲，离开了喀他赫纳，在年轻的Fermina Daza看来，二人的爱情只是少不更事的幻觉而已。                                                                    几年后，Fermina Daza在父亲的安排下，嫁给了有好感的医生Dr. Juvenal Urbino（Benjamin Bratt  饰）。正值霍乱时期，一个医生丈夫不仅能带来优渥的生活，更是生命有力的保障。Fermina Daza渐渐忘记了当年的事情。可是Florentino Ariza却没有忘记，当年一无所有的青涩少年，继承了伯父的遗产，成为富有的船商，他经历着不同的女人，但是内心却对Fermina Daza念念不忘，他能做的事情，就是等待，等待重逢的那一天，纵然五十多年过去，对她的心意还一如往昔。, https://movie.douban.com/subject/2002743/, https://img2.doubanio.com/view/photo/poster/public/p1634591563.jpg
再见箱舟 さらば箱舟, 改编自马尔克斯小说《百年孤独》, 年份: 1984, 8.2, 偏远隔绝的日本山村，财主时任家的少爷大作（原田芳雄 饰）偷走村里所有住户的钟，将其埋在地下。从此，村中失去时间的概念，止步不前。多年之后，大作的堂弟舍吉（山崎努 饰）和堂妹惠子（新高けい子 饰）结婚，然而惠子的父亲当年为防止不伦之事而给女儿戴上了贞操带。婚后多年，舍吉夫妻因性事甚为苦恼，而舍吉也因没有子女而被村人嘲笑。某天，愤怒的舍吉忍无可忍，刺死了嘲笑他的大作。在此之后，夫妻二人选择逃亡，不过最终还是返回了村中。从此，舍吉便经常能够看到大作的鬼魂，并渐渐开始忘却周遭事物的名称，心性失常。在这个恍如孤岛的村落，怪诞的事情接连发生，从未停止……                                                                    本片为先锋导演寺山修司遗作。                        ©豆瓣, https://movie.douban.com/subject/1401522/, https://img1.doubanio.com/view/photo/poster/public/p2561918107.jpg
